Name,Location,Ranking,Cost of Living,Intakes,Application Fees,Under Graduate GPA/Percentage,Under Graduate Tuition Fees,IELTS marks required,PTE marks required,Gap?,Post Graduate Tuition Fees,Post Graduate GPA/Percentage,Post Graduate IELTS,Post Graduate PTE,Post Graduate Gap Acceptance,Agent,Sample Undergraduate Courses,Sample Postgraduate Courses
University of Adelaide,Adelaide,6,21000,February,100,85,38000,6.5,58,Yes,42000,85,6.5,58,Yes,Agent F,Bachelor of Dental Surgery; Bachelor of Psychological Science; Bachelor of Economics; Bachelor of Computer Science,Master of Wine Business; Master of Accounting; Master of Clinical Nursing; Master of Architecture
University of South Australia,Adelaide,20,19000,February,100,75,22000,6.5,58,Yes,26000,75,6.5,58,Yes,Agent T,Bachelor of Commerce; Bachelor of Information Technology; Bachelor of Design; Bachelor of Social Work;Bachelor of Computer Science;Bachelor of Psychology;,Master of Engineering (Electrical Power); Master of Data Science; Master of Management; Master of Nursing
Flinders University,Adelaide,21,19000,February,100,75,21000,6.5,58,Yes,25000,75,6.5,58,Yes,Agent U,Bachelor of Psychology; Bachelor of Business; Bachelor of Medical Science; Bachelor of Arts;Bachelor of Computer Science,Master of Social Work; Master of Public Health; Master of Business Administration; Master of Information Technology
University of Auckland,Auckland,1,22000,February,150,85,44000,7,65,Yes,25000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Engineering; Bachelor of Science,Master of Business Administration; Master of Engineering; Master of Public Health; Master of Information Technology
Auckland University of Technology,Auckland,7,19000,February,105,65,37000,6.5,58,Yes,25000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Business; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Auckland University of Technology,Auckland,7,19000,February,105,65,37000,6.5,58,Yes,25000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Business; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Auckland University of Technology,Auckland,7,19000,February,105,65,37000,6.5,58,Yes,25000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Business; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Manukau Institute of Technology,Auckland,20,19000,February,115,65,35000,6.5,58,Yes,25000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Business; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Unitec New Zealand,Auckland,21,19500,February,120,70,35500,6.5,58,Yes,25000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Eastern Institute of Technology,Auckland,25,21500,February,140,80,37500,6.5,58,Yes,25000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Auckland Institute of Studies,Auckland,30,24000,February,165,90,40000,6.5,58,Yes,25000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Business; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Charles Sturt University,Bathurst,22,18000,February,100,70,20000,6,50,Yes,24000,70,6,50,Yes,Agent V,Bachelor of Communication; Bachelor of Exercise Science; Bachelor of Nursing; Bachelor of Accounting,Master of Information Technology; Master of Business Administration; Master of Education; Master of Professional Accounting
UQ,Brisbane,4,21000,February,100,85,38000,6.5,58,Yes,42000,85,6.5,58,Yes,Agent D,Bachelor of Veterinary Science (Honours); Bachelor of Laws (Honours); Bachelor of Pharmacy (Honours); Bachelor of Biotechnology,Master of Environmental Management; Master of Business; Master of Speech Pathology Studies; Master of Development Practice
Queensland University of Technology,Brisbane,11,20000,February,100,80,32000,6.5,58,Yes,36000,80,6.5,58,Yes,Agent K,Bachelor of Business; Bachelor of Design; Bachelor of Engineering; Bachelor of Science,Master of Engineering Management; Master of Information Technology; Master of Business Administration; Master of Education
Simon Fraser University,Burnaby,9,20000,September,6.5,90,29000,6,85,Yes,36000,70,6,50,Yes,Agent DD,Bachelor of Business; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
Simon Fraser University,Burnaby,37,17000,September,7,95,27000,6.5,88,Yes,36000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
University of Calgary,Calgary,6,23000,September,6.5,90,32000,6,85,Yes,36000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
University of Calgary,Calgary,39,19000,September,6.5,90,29000,6,85,Yes,36000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
